id,url,type,desc,source,date,criticality_level,connectiontype
769324,101deki.com,domain,BP,IH,2024-08-07 15:50:15.683364,4,PH
769322,a.101deki.com,domain,BP,IH,2024-08-07 15:50:06.603851,4,PH
769320,indirimdeyenidevir.xyz,domain,BP,IH,2024-08-07 15:48:33.468501,4,PH
769318,sen-yap-en-iyisi.com,domain,BP,IH,2024-08-07 15:47:44.196718,4,PH
769316,firsatdunyasivkkatilim.com,domain,BP,IH,2024-08-07 15:46:29.305391,4,PH
769314,resebinbgttenmidaha-dahhaberler-suurreekli-devaamli-urrr.com.tr,domain,BP,IH,2024-08-07 15:24:09.870747,4,PH
769312,ak-bnk-agustosfirsatlari.com.tr,domain,BP,US,2024-08-07 15:21:46.345422,4,PH
769310,comtr-indirim-vakti.com,domain,BP,US,2024-08-07 15:21:42.249233,4,PH
769308,bnonlineduyurutr.com,domain,BP,US,2024-08-07 15:21:37.895805,4,PH
769306,bnsatrduyurutr.com,domain,BP,US,2024-08-07 15:21:33.265187,4,PH
769304,xaldinxs-xaldinxs-xsonx-kampanxyalarxs.online,domain,BP,IH,2024-08-07 14:52:01.260749,4,PH
769302,hhzlicasrrgggggggg.click,domain,BP,US,2024-08-07 14:51:32.446037,4,PH
769300,sen-varken-guzel-her-sey.com,domain,BP,IH,2024-08-07 14:48:52.769638,4,PH
769298,hafta-kapida-siparis.info.tr,domain,BP,IH,2024-08-07 14:44:53.637986,4,PH
769296,kampanyasonutemuz.com.tr,domain,BP,IH,2024-08-07 14:44:06.543868,4,PH
769294,acik-deniz-denizbank.sellrinvoice.com,domain,BP,IH,2024-08-07 14:39:58.048049,4,PH
769290,szdnonchftninyldzlrigld.com,domain,PH,IH,2024-08-07 14:14:28.725826,4,PH
769288,darkstar.linkpc.net,domain,PH,US,2024-08-07 14:13:58.448861,4,OT
769286,enucuz101burada.xyz,domain,BP,IH,2024-08-07 14:03:35.377023,4,PH
769284,webgecistr-webinfo.icu,domain,BP,IH,2024-08-07 14:03:31.893493,4,PH
769282,rotenl.info,domain,BP,IH,2024-08-07 14:01:28.17062,4,PH
769280,aakkampnyakrd.online,domain,BP,IH,2024-08-07 13:55:17.304208,4,PH
769278,2-hcr23r86tb7e15r6q76.github.io,domain,BP,IH,2024-08-07 13:54:05.095047,4,PH
769276,clarissass.com,domain,BP,IH,2024-08-07 13:31:22.298455,4,PH
769274,cepte-firsat.name.tr,domain,BP,IH,2024-08-07 13:29:57.026394,4,PH
769272,ec2-3-145-172-86.us-east-2.compute.amazonaws.com,domain,MC,US,2024-08-07 13:26:35.798121,8,OT
769270,cdn-server-1.xiren77418.workers.dev,domain,MC,US,2024-08-07 13:26:35.798121,8,OT
769268,ec2-3-145-180-193.us-east-2.compute.amazonaws.com,domain,MC,US,2024-08-07 13:26:35.798121,8,OT
769266,cdn-server-2.wesoc40288.workers.dev,domain,MC,US,2024-08-07 13:26:35.798121,8,OT
769264,kampanyaayisonutemuz.com.tr,domain,BP,IH,2024-08-07 13:13:36.454956,4,PH
769262,gecisihlaldosyaslari.info,domain,BP,IH,2024-08-07 13:09:30.926664,4,PH
769260,www.morexen.fun,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769258,vip.swenzycheck.store,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769256,medusachecker.shop,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769254,katanacheck.store,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769252,negatronchecker.xyz,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769250,vip.optimuschk.online,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769248,exsacheck.site,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769246,worexproject.com.tr,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769244,tanrinineli.com,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769200,ekobulala.ddns.net,domain,MD,US,2024-08-07 11:14:21.858215,7,OT
769198,sok-hepucuz.top,domain,BP,IH,2024-08-07 11:08:49.541023,4,PH
769196,renouvellement-info.ddns.net,domain,MD,US,2024-08-07 11:07:22.237771,7,OT
769194,eniyi.indirimimde.com,domain,PH,IH,2024-08-07 11:06:45.686816,4,PH
769192,dihkportalkamer.ddns.net,domain,MD,US,2024-08-07 11:06:40.520269,7,OT
769190,xzas1azx.ddns.net,domain,MD,US,2024-08-07 11:06:37.48986,7,OT
769188,connect-89support.ddns.net,domain,MD,US,2024-08-07 11:06:34.589661,7,OT
769186,aidat.gbvislem.com,domain,BP,IH,2024-08-07 11:00:15.529783,4,PH
769184,acik-lndrmleri-hemen-siparis-olustur.com,domain,BP,IH,2024-08-07 10:59:34.647152,4,PH
769182,basvuruekranlrkrd20609.online,domain,BP,IH,2024-08-07 10:58:24.642487,4,PH
769180,bufirsatlar-kacirilmaz.com.tr,domain,BP,US,2024-08-07 10:51:30.371942,4,PH
769178,haxftxaninx-yixlxdxixz.xyz,domain,BP,IH,2024-08-07 10:50:45.958582,4,PH
769176,tapbakasana.click,domain,PH,IH,2024-08-07 10:49:42.85698,4,PH
769174,hizlituketimaraclari.com,domain,BP,IH,2024-08-07 10:49:21.230058,4,PH
769172,gbvislem.com,domain,BP,IH,2024-08-07 10:47:54.455775,4,PH
769170,ziraatgir.vercel.app,domain,BP,IH,2024-08-07 10:39:14.795236,4,PH
769168,market.agustoscarsambahup.com,domain,PH,IH,2024-08-07 10:37:27.262342,4,PH
769166,agustosfirsatlari101.com.tr,domain,BP,IH,2024-08-07 10:32:57.456407,4,PH
769164,guvenli-alim-satim.com.tr,domain,BP,US,2024-08-07 09:11:51.781156,4,PH
769162,ptt-trr.top,domain,BP,US,2024-08-07 09:11:45.600538,4,PH
769242,oldhack.online,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769240,lasvegastr.com,domain,PH,US,2024-08-07 13:01:21.296907,4,OT
769238,bufiyatabaskayerdeyok.online,domain,BP,IH,2024-08-07 12:59:31.872632,4,PH
769236,142.111.77.196,ip,MC,US,2024-08-07 12:52:16.689712,8,OT
769234,akbankhackathon.mentorluk.com.tr,domain,BP,IH,2024-08-07 12:25:21.851584,4,PH
769232,traktoricingir.duckdns.org,domain,BP,IH,2024-08-07 12:19:47.530232,4,PH
769230,internalontop.ddns.net,domain,MD,US,2024-08-07 11:56:53.919409,7,OT
769228,katilimtrnbnngiris.online,domain,BP,IH,2024-08-07 11:53:34.235996,4,PH
